,ratio
2020-12-28 00:00:00-05:00,0.9811762919383037
2020-12-29 00:00:00-05:00,0.9811835501736685
2020-12-30 00:00:00-05:00,0.9811842772600058
2020-12-31 00:00:00-05:00,0.9811749112479629
2021-01-04 00:00:00-05:00,0.9811661866684106
2021-01-05 00:00:00-05:00,0.9811827711892618
2021-01-06 00:00:00-05:00,0.9811333655743075
2021-01-07 00:00:00-05:00,0.9811818829103591
2021-01-08 00:00:00-05:00,0.9811819025841133
2021-01-11 00:00:00-05:00,0.9811908165313593
2021-01-12 00:00:00-05:00,0.9811695681850131
2021-01-13 00:00:00-05:00,0.9811691297963401
2021-01-14 00:00:00-05:00,0.9811595908808028
2021-01-15 00:00:00-05:00,0.9811558274783586
2021-01-19 00:00:00-05:00,0.9811813154727145
2021-01-20 00:00:00-05:00,0.981175128421589
2021-01-21 00:00:00-05:00,0.9811818891028619
2021-01-22 00:00:00-05:00,0.9811814333194834
2021-01-25 00:00:00-05:00,0.9811475064067476
2021-01-26 00:00:00-05:00,0.9811622718384765
2021-01-27 00:00:00-05:00,0.9811731928964245
2021-01-28 00:00:00-05:00,0.9811811073128479
2021-01-29 00:00:00-05:00,0.9811587816956987
2021-02-01 00:00:00-05:00,0.9811718706710998
2021-02-02 00:00:00-05:00,0.9811916182320587
2021-02-03 00:00:00-05:00,0.9811778470150286
2021-02-04 00:00:00-05:00,0.9811575752937044
2021-02-05 00:00:00-05:00,0.9811805757942098
2021-02-08 00:00:00-05:00,0.9811724198624393
2021-02-09 00:00:00-05:00,0.9811758568951745
2021-02-10 00:00:00-05:00,0.9811775389189603
2021-02-11 00:00:00-05:00,0.981166192287441
2021-02-12 00:00:00-05:00,0.9811883950998669
2021-02-16 00:00:00-05:00,0.9811762619484495
2021-02-17 00:00:00-05:00,0.9811529505185276
2021-02-18 00:00:00-05:00,0.9811694489365393
2021-02-19 00:00:00-05:00,0.9811838246986374
2021-02-22 00:00:00-05:00,0.9811650804171833
2021-02-23 00:00:00-05:00,0.9811769700012434
2021-02-24 00:00:00-05:00,0.9811840304875792
2021-02-25 00:00:00-05:00,0.9811550825939954
2021-02-26 00:00:00-05:00,0.9811742250258805
2021-03-01 00:00:00-05:00,0.9811630092842097
2021-03-02 00:00:00-05:00,0.9811620348238638
2021-03-03 00:00:00-05:00,0.9811442608094854
2021-03-04 00:00:00-05:00,0.9811501508462079
2021-03-05 00:00:00-05:00,0.981127520696839
2021-03-08 00:00:00-05:00,0.9811492961921195
2021-03-09 00:00:00-05:00,0.9811954919523673
2021-03-10 00:00:00-05:00,0.9811586524797176
2021-03-11 00:00:00-05:00,0.9811575379357705
