date,side,entry_time,entry_price,exit_time,exit_price,shares,pnl,stopped_out,eod_flatten
2018-01-02,SHORT,2018-01-02 09:31:00-05:00,147.16407108698175,2018-01-02 09:37:00-05:00,147.32028787161335,169,-26.400636602739695,True,False
2018-01-02,LONG,2018-01-02 09:37:00-05:00,147.32028787161335,2018-01-02 15:59:00-05:00,149.16934440417114,169,312.4905540022676,False,True
2018-01-03,LONG,2018-01-03 09:31:00-05:00,149.55577010196927,2018-01-03 15:59:00-05:00,150.6286573766464,169,181.31794942043476,False,True
2018-01-04,LONG,2018-01-04 09:31:00-05:00,151.18014675549094,2018-01-04 09:38:00-05:00,151.07108931013107,168,-18.321650820457535,True,False
2018-01-04,SHORT,2018-01-04 09:38:00-05:00,151.07108931013107,2018-01-04 09:52:00-05:00,151.02884183129797,168,7.097576443961543,True,False
2018-01-04,LONG,2018-01-04 09:52:00-05:00,151.02884183129797,2018-01-04 09:56:00-05:00,151.01508683818955,168,-2.3108388422147073,True,False
2018-01-04,SHORT,2018-01-04 09:56:00-05:00,151.01508683818955,2018-01-04 10:11:00-05:00,151.06224681456135,168,-7.922876030462703,True,False
2018-01-04,LONG,2018-01-04 10:11:00-05:00,151.06224681456135,2018-01-04 10:20:00-05:00,150.98659435246486,168,-12.709613632209539,True,False
2018-01-04,SHORT,2018-01-04 10:20:00-05:00,150.98659435246486,2018-01-04 10:27:00-05:00,151.01999933572827,168,-5.612037188252771,True,False
2018-01-04,LONG,2018-01-04 10:27:00-05:00,151.01999933572827,2018-01-04 11:10:00-05:00,150.99641934754234,168,-3.9614380152361264,True,False
2018-01-04,SHORT,2018-01-04 11:10:00-05:00,150.99641934754234,2018-01-04 11:14:00-05:00,151.02884183129797,168,-5.446977270944899,True,False
2018-01-04,LONG,2018-01-04 11:14:00-05:00,151.02884183129797,2018-01-04 11:15:00-05:00,150.99641934754234,168,-5.446977270944899,True,False
2018-01-04,SHORT,2018-01-04 11:15:00-05:00,150.99641934754234,2018-01-04 11:32:00-05:00,151.024911833267,168,-4.786737601742061,True,False
2018-01-04,LONG,2018-01-04 11:32:00-05:00,151.024911833267,2018-01-04 11:35:00-05:00,150.97775185689517,168,-7.922876030467478,True,False
2018-01-04,SHORT,2018-01-04 11:35:00-05:00,150.97775185689517,2018-01-04 12:06:00-05:00,151.02196433474373,168,-7.427696278558187,True,False
2018-01-04,LONG,2018-01-04 12:06:00-05:00,151.02196433474373,2018-01-04 12:22:00-05:00,150.97775185689517,168,-7.427696278558187,True,False
2018-01-04,SHORT,2018-01-04 12:22:00-05:00,150.97775185689517,2018-01-04 12:45:00-05:00,151.01508683818955,168,-6.2722768574556085,True,False
2018-01-04,LONG,2018-01-04 12:45:00-05:00,151.01508683818955,2018-01-04 12:50:00-05:00,150.98659435246486,168,-4.786737601746836,True,False
2018-01-04,SHORT,2018-01-04 12:50:00-05:00,150.98659435246486,2018-01-04 14:15:00-05:00,150.98659435246486,168,-0.0,True,False
