test_year,baseline_oos_sharpe,grid_oos_sharpe,bayes_oos_sharpe,bayes_params,grid_params,bayes_train_score,grid_train_score,bayes_time_sec,grid_time_sec,grid_evals,bayes_pf_std,bayes_cb_std,bayes_vt_std
2020,2.5544897320378546,1.3241778236804098,1.2529751042983457,"{'position_fraction': 0.5173771626769769, 'confirmation_bars': 2, 'vwap_threshold_pct': 0.2434873620867227}","{'position_fraction': 0.25, 'confirmation_bars': 5, 'vwap_threshold_pct': 0.2}",1.1482662374907635,1.0653033933534284,74.23780012130737,41.47204399108887,27,0.34382724402632403,1.247219128924647,0.0955043599634899
2021,1.1774071633517307,1.1852322293757642,2.3547347922766293,"{'position_fraction': 0.4518364393062501, 'confirmation_bars': 7, 'vwap_threshold_pct': 0.23040884644311976}","{'position_fraction': 0.25, 'confirmation_bars': 1, 'vwap_threshold_pct': 0.0}",1.1173850411814452,1.1327635814266925,109.00326871871948,61.719789266586304,27,0.25286108453297035,3.2998316455372216,0.11838599924949532
2022,0.5166144879413859,1.437792159081207,1.2726399141292666,"{'position_fraction': 0.3138865961569682, 'confirmation_bars': 10, 'vwap_threshold_pct': 0.1283466694406098}","{'position_fraction': 0.25, 'confirmation_bars': 10, 'vwap_threshold_pct': 0.0}",1.0128082343733256,1.038604285795762,142.28319907188416,80.978355884552,27,0.3024813250950015,2.357022603955158,0.15352338500970075
2023,0.6492710107799228,0.9933533573269837,0.7671954828723793,"{'position_fraction': 0.38247217346093193, 'confirmation_bars': 10, 'vwap_threshold_pct': 0.016662485969667153}","{'position_fraction': 0.25, 'confirmation_bars': 10, 'vwap_threshold_pct': 0.0}",0.997331762910452,1.0399949367495278,176.93503999710083,101.83818793296814,27,0.22017471948279685,2.357022603955158,0.0235643136411547
